"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test checks successful validation when uploading a valid PNG image","178","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:20:15 UTC 2026","passed","Thu Mar 05 14:20:15 UTC 2026","TestUploadImage","upload_image_test","",""
"","599","test_api_is_work","tests.api","Thu Mar 05 14:18:49 UTC 2026","passed","Thu Mar 05 14:18:49 UTC 2026","","base_api_test","",""
"","2370","test_create_and_delete_news[chrome]","tests.ui","Thu Mar 05 14:20:37 UTC 2026","broken","Thu Mar 05 14:20:39 UTC 2026","","delete_news_test","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1215","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:19:07 UTC 2026","passed","Thu Mar 05 14:19:08 UTC 2026","","cancel_creating_test","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10127","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:20:21 UTC 2026","passed","Thu Mar 05 14:20:32 UTC 2026","TestUploadImage","upload_image_test","",""
"","0","test_title_field_validation","tests.ui.create_news_tests","Thu Mar 05 14:20:02 UTC 2026","broken","Thu Mar 05 14:20:02 UTC 2026","","title_field_validation_test","",""
"Verify that the Create News form contains the particular fields.","6328","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Thu Mar 05 14:19:15 UTC 2026","passed","Thu Mar 05 14:19:21 UTC 2026","","create_news_form_visibility_test","",""
"","1411","Check selection of three tags","tests.ui.create_news_tests","Thu Mar 05 14:19:46 UTC 2026","failed","Thu Mar 05 14:19:47 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","9437","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:21:07 UTC 2026","passed","Thu Mar 05 14:21:16 UTC 2026","","edit_news_form_visibility_test","",""
"","1319","test_cancel_editing_discards_changes[chrome]","tests.ui","Thu Mar 05 14:22:38 UTC 2026","passed","Thu Mar 05 14:22:39 UTC 2026","","test_cancel_editing","",""
"Verify max 3 tags selectable behavior","1517","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 14:21:59 UTC 2026","passed","Thu Mar 05 14:22:00 UTC 2026","TestTagSelection","tag_selection_test","",""
"","2272","test_base_navigate[chrome]","tests.ui","Thu Mar 05 14:22:42 UTC 2026","passed","Thu Mar 05 14:22:45 UTC 2026","","test_stub","",""
"","7","test_greencity_is_work[chrome]","tests.ui","Thu Mar 05 14:22:41 UTC 2026","passed","Thu Mar 05 14:22:41 UTC 2026","","test_stub","",""
"Verify that the 'Edit news' button is not visible for news created by other users","11238","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:20:48 UTC 2026","passed","Thu Mar 05 14:20:59 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","0","Verify like functionality","tests.ui","Thu Mar 05 14:22:39 UTC 2026","skipped","Thu Mar 05 14:22:39 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify creating news with single tag","1432","test_single_tag_selection[chrome]","tests.ui","Thu Mar 05 14:22:21 UTC 2026","passed","Thu Mar 05 14:22:23 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify Create News publishing with multiple tags in different locales","1761","test_tag_selection[chrome-Language.EN]","tests.ui","Thu Mar 05 14:22:06 UTC 2026","passed","Thu Mar 05 14:22:08 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","5964","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Thu Mar 05 14:19:27 UTC 2026","passed","Thu Mar 05 14:19:33 UTC 2026","","create_news_form_visibility_test","",""
"","160","Add the same news twice - Error 400","tests.api","Thu Mar 05 14:18:51 UTC 2026","passed","Thu Mar 05 14:18:51 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","0","Verify news details elements and content","tests.ui","Thu Mar 05 14:22:39 UTC 2026","skipped","Thu Mar 05 14:22:39 UTC 2026","TestNewsDetails","test_news_details","",""
"","1193","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 05 14:19:38 UTC 2026","failed","Thu Mar 05 14:19:40 UTC 2026","TestTagSelection","tag_selection_test","",""
"","206","Attempt to add to favorites without token - Error 401","tests.api","Thu Mar 05 14:18:52 UTC 2026","passed","Thu Mar 05 14:18:52 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","0","Verify 'Recommended News' section title","tests.ui","Thu Mar 05 14:22:39 UTC 2026","skipped","Thu Mar 05 14:22:39 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","527","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:21:52 UTC 2026","passed","Thu Mar 05 14:21:53 UTC 2026","","empty_title_validation_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Thu Mar 05 14:22:39 UTC 2026","skipped","Thu Mar 05 14:22:39 UTC 2026","TestNewsDetails","test_news_details","",""
"","170","Add and remove news from favorites (Authorized)","tests.api","Thu Mar 05 14:18:50 UTC 2026","passed","Thu Mar 05 14:18:50 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that the author can edit their own news and the changes are saved","2699","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:21:42 UTC 2026","passed","Thu Mar 05 14:21:45 UTC 2026","","edit_own_news_test","",""
"Verify that the Create News form contains the particular fields.","10093","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:21:25 UTC 2026","passed","Thu Mar 05 14:21:35 UTC 2026","","edit_news_form_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","1829","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 14:22:14 UTC 2026","passed","Thu Mar 05 14:22:16 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the 'Edit news' button is visible only to the author of the news","67","test_edit_button_visible_to_author[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:20:46 UTC 2026","passed","Thu Mar 05 14:20:46 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","0","Verify navigation and UI state","tests.ui","Thu Mar 05 14:22:39 UTC 2026","skipped","Thu Mar 05 14:22:39 UTC 2026","TestNewsDetails","test_news_details","",""
"","902","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Thu Mar 05 14:19:53 UTC 2026","passed","Thu Mar 05 14:19:54 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with three tags","1597","test_three_tags_selection[chrome]","tests.ui","Thu Mar 05 14:22:28 UTC 2026","passed","Thu Mar 05 14:22:29 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Thu Mar 05 14:22:39 UTC 2026","skipped","Thu Mar 05 14:22:39 UTC 2026","TestNewsDetails","test_news_details","",""
"","4","test_edit_content_not_shorter_than_20_chars_not_accepted[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:20:10 UTC 2026","broken","Thu Mar 05 14:20:10 UTC 2026","","too_short_content_test","",""
"","2062","test_source_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:20:00 UTC 2026","passed","Thu Mar 05 14:20:02 UTC 2026","","test_source_field","",""
