"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","EcoNews API","0","EcoNews CRUD without authorization","1","0","Delete EcoNews without token","0"
"0","EcoNews Management","0","Edit existing news","2","0","Verify that only the author can see the 'Edit news' button","0"
"0","Eco News","0","News Management","1","0","Create and Delete News Workflow","0"
"0","EcoNews Management","0","Edit news page","1","0","Empty title field validation","0"
"0","","0","","9","0","","0"
"0","","0","Eco News Favorites","3","0","","0"
"0","UI Tests","0","News Creation","1","0","Source Field Validation","0"
"0","","0","Create News","1","0","Title field validation","0"
"0","","0","","1","0","Update EcoNews by ID with image","0"
"0","EcoNewsComment API","0","EcoNews Comments","3","0","Verify replies and replies count for EcoNews comments","0"
"0","EcoNews Management","0","Create News","5","0","Verify news tag selection behavior","0"
"0","","0","","2","0","Get EcoNews in English and Ukrainian","0"
"0","EcoNews Management","0","Edit existing news","1","0","Verify author can edit their own news and changes are saved","0"
"0","UI Tests","2","Eco News","1","0","Tag Selection","0"
"0","","0","","1","0","Delete non-existing EcoNews","0"
"0","","0","Eco News API","1","0","Get eco news tags","0"
"0","EcoNews Management","0","Create News","2","0","Image upload validation for oversized files","0"
"0","","0","","1","0","Get non-existing EcoNews","0"
"0","","0","","1","0","Get EcoNews by ID","0"
"0","","0","","1","0","Delete existing EcoNews","0"
"0","UI Tests","0","News Creation","1","0","News Preview Functionality","0"
"0","","0","","1","0","Update EcoNews with invalid id, tag, title, content","0"
"0","","0","Create News","1","0","Cancel news creation","0"
"0","UI Tests","0","News Creation","1","0","News image size validation","0"
"0","EcoNews Management","0","Edit news page","2","0","Verify visibility and behavior of Edit News form","0"
"0","EcoNews API","0","EcoNews CRUD without authorization","1","0","Update EcoNews without token","0"
"0","","0","Edit News","1","0","Content field validation","0"
"0","EcoNews Management","0","Create News","2","0","Verify visibility and behavior of Create News form","0"
"0","","0","Edit News","1","0","Cancel editing behavior","0"
"0","","0","","1","0","Update EcoNews without image","0"
