"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Create News publishing with multiple tags in different locales","1811","test_tag_selection[chrome-Language.UK]","tests.ui","Fri Mar 06 10:57:17 UTC 2026","passed","Fri Mar 06 10:57:19 UTC 2026","TestTagSelection","tag_selection_test","",""
"Test: Delete a comment by its ID.","138","test_delete_comment_by_id","tests.api","Fri Mar 06 10:53:56 UTC 2026","passed","Fri Mar 06 10:53:56 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","533","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Fri Mar 06 10:53:45 UTC 2026","passed","Fri Mar 06 10:53:46 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"","0","Verify news details elements and content","tests.ui","Fri Mar 06 10:57:47 UTC 2026","skipped","Fri Mar 06 10:57:47 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify max 3 tags selectable behavior","1816","test_four_tags_selection_blocked[chrome]","tests.ui","Fri Mar 06 10:57:02 UTC 2026","passed","Fri Mar 06 10:57:04 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","test_title_field_validation","tests.ui.create_news_tests","Fri Mar 06 10:55:06 UTC 2026","broken","Fri Mar 06 10:55:06 UTC 2026","","title_field_validation_test","",""
"Verify creating news with three tags","1682","test_three_tags_selection[chrome]","tests.ui","Fri Mar 06 10:57:32 UTC 2026","passed","Fri Mar 06 10:57:34 UTC 2026","TestTagSelection","tag_selection_test","",""
"","639","test_create_and_verify_news","tests.api","Fri Mar 06 10:53:56 UTC 2026","passed","Fri Mar 06 10:53:57 UTC 2026","","test_create_news_success","",""
"Verify that an authorized user can successfully delete an existing EcoNews item","939","test_delete_eco_news_by_id","tests.api.econews_by_id","Fri Mar 06 10:53:47 UTC 2026","passed","Fri Mar 06 10:53:48 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that updating EcoNews with a specific image is successful","438","test_update_eco_news_by_id_with_image","tests.api.econews_by_id","Fri Mar 06 10:53:50 UTC 2026","passed","Fri Mar 06 10:53:50 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","79","Attempt to add to favorites without token - Error 401","tests.api.econews_by_id","Fri Mar 06 10:53:53 UTC 2026","passed","Fri Mar 06 10:53:53 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","2333","test_create_and_delete_news[chrome]","tests.ui","Fri Mar 06 10:55:40 UTC 2026","broken","Fri Mar 06 10:55:42 UTC 2026","","delete_news_test","",""
"Test: Get a comment by its ID.","125","test_get_comment_by_id","tests.api","Fri Mar 06 10:53:55 UTC 2026","passed","Fri Mar 06 10:53:55 UTC 2026","TestNewsComments","news_comments_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Fri Mar 06 10:57:47 UTC 2026","skipped","Fri Mar 06 10:57:47 UTC 2026","TestNewsDetails","test_news_details","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10099","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Fri Mar 06 10:55:24 UTC 2026","passed","Fri Mar 06 10:55:34 UTC 2026","TestUploadImage","upload_image_test","",""
"","8","test_edit_content_not_shorter_than_20_chars_not_accepted[chrome]","tests.ui.create_news_tests","Fri Mar 06 10:55:13 UTC 2026","broken","Fri Mar 06 10:55:13 UTC 2026","","too_short_content_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","98","test_get_eco_news_by_lang[en-Title in English should not be null]","tests.api.econews_by_id","Fri Mar 06 10:53:49 UTC 2026","passed","Fri Mar 06 10:53:49 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","467","test_base_navigate[chrome]","tests.ui","Fri Mar 06 10:57:52 UTC 2026","passed","Fri Mar 06 10:57:53 UTC 2026","","test_stub","",""
"Verify that the Create News form contains the particular fields.","6437","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Fri Mar 06 10:54:32 UTC 2026","passed","Fri Mar 06 10:54:39 UTC 2026","","create_news_form_visibility_test","",""
"","0","Verify like functionality","tests.ui","Fri Mar 06 10:57:47 UTC 2026","skipped","Fri Mar 06 10:57:47 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that updating EcoNews without providing an image works correctly","164","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Fri Mar 06 10:53:46 UTC 2026","passed","Fri Mar 06 10:53:47 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","99","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Fri Mar 06 10:53:49 UTC 2026","passed","Fri Mar 06 10:53:49 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
